1980	1	1	0	11.8	24.7
1980	1	2	0	13.4	21.1
1980	1	3	3	14.0	22.8
1980	1	4	0	13.9	25.0
1980	1	5	0	13.4	25.6
1980	1	6	0	13.3	22.8
1980	1	7	0	11.4	21.0
1980	1	8	0	9.9	23.1
1980	1	9	0	12.8	23.6
1980	1	10	0	12.3	23.3
1980	1	11	0	9.6	23.3
1980	1	12	0	9.2	23.4
1980	1	13	0	10.6	25.0
1980	1	14	0	10.6	23.3
1980	1	15	0	10.6	24.7
1980	1	16	0	10.0	24.4
1980	1	17	0	11.4	25.8
1980	1	18	0	12.2	26.8
1980	1	19	0	12.5	26.9
1980	1	20	0	12.6	27.2
1980	1	21	0	11.9	26.2
1980	1	22	0	11.1	26.7
1980	1	23	0	12.2	24.2
1980	1	24	0	12.4	24.4
1980	1	25	0	9.6	25.6
1980	1	26	0	11.7	22.2
1980	1	27	0	11.7	26.7
1980	1	28	0	17.8	28.9
1980	1	29	0	12.2	27.8
1980	1	30	0	13.3	23.3
1980	1	31	0	9.9	24.1
1980	2	1	0	9.8	24.4
1980	2	2	0	10.4	26.1
1980	2	3	0	11.1	27.1
1980	2	4	0	17.5	28.4
1980	2	5	14	19.2	22.5
1980	2	6	1	14.7	25.3
1980	2	7	0	8.9	23.3
1980	2	8	0	8.6	23.9
1980	2	9	0	8.9	25.0
1980	2	10	0	10.1	26.7
1980	2	11	0	14.4	27.7
1980	2	12	0	12.2	28.1
1980	2	13	0	12.1	28.3
1980	2	14	0	12.5	28.1
1980	2	15	0	14.2	29.4
1980	2	16	0	17.2	28.9
1980	2	17	2	17.2	27.8
1980	2	18	15	16.4	26.1
1980	2	19	0	16.1	28.3
1980	2	20	0	17.8	29.4
1980	2	21	0	16.1	28.3
1980	2	22	0	16.2	30.0
1980	2	23	0	20.8	30.8
1980	2	24	0	21.9	32.2
1980	2	25	0	22.1	30.6
1980	2	26	0	16.2	30.7
1980	2	27	0	15.7	30.8
1980	2	28	0	20.8	31.2
1980	2	29	0	22.8	30.4
1980	3	1	30	19.2	22.2
1980	3	2	7	17.2	26.1
1980	3	3	0	18.3	20.0
1980	3	4	1	20.3	28.9
1980	3	5	0	19.1	28.9
1980	3	6	0	20.3	31.7
1980	3	7	0	22.1	32.2
1980	3	8	0	17.8	31.1
1980	3	9	0	19.2	28.6
1980	3	10	0	18.1	31.0
1980	3	11	0	20.0	32.5
1980	3	12	0	21.1	31.7
1980	3	13	0	17.2	32.4
1980	3	14	0	16.7	31.1
1980	3	15	0	14.6	32.8
1980	3	16	0	-99.9	33.8
1980	3	17	0	22.2	33.9
1980	3	18	0	20.3	34.2
